# Medžuslovjansky - inflected forms, standard orthography.
# GENERATED by build_keyman_wordlist.py - do not edit.
# source: main_isv.combined (f >= 100)
najmě	167
kolikrat	167
sustav	167
lučši	167
mati	167
Stary	167
Svět	167
svoja	167
svoje	167
svojego	167
svojej	167
svojeju	167
svojem	167
svojemu	167
svoji	167
svojih	167
svojim	167
svojimi	167
svoju	167
jedna	167
jedne	167
jedni	167
jednogo	167
jednoju	167
jednom	167
jednomu	167
jednu	167
jednyh	167
jednym	167
jednymi	167
rokah	167
rokam	167
rokami	167
rokom	167
rokov	167
roku	167
roky	167
roče	167
klas	166
SSSR	166
lěto	166
prodaž	166
uravenj	166
inovrěmenno	166
inovrěmenny	166
meso	166
drugy	166
glava	166
vtory	166
umětnost	166
idti	166
rabotati	166
gazeta	166
trěh	166
trěm	166
trěmi	166
klasa	166
osm	166
medžutym	166
jihny	166
někako	166
směr	166
tretji	166
nazad	166
několiko	166
vsekto	166
byly	166
pracovati	166
dekujuči	165
večer	165
žiti	165
razov	165
serija	165
kompleks	165
prva	165
prve	165
prvi	165
prvogo	165
prvoj	165
prvoju	165
prvom	165
prvomu	165
prvu	165
prvyh	165
prvym	165
prvymi	165
telefon	165
kogo	165
sedmica	165
onogda	165
onogdy	165
ključ	165
budučnost	165
direktor	165
deset	165
vnimanje	165
groše	165
igrati	165
lěpši	165
medžučasno	165
duša	165
kupiti	165
mozg	165
projekt	164
tamo	164
proces	164
politika	164
zdravje	164
naša	164
naše	164
našego	164
našej	164
našeju	164
našem	164
našemu	164
naši	164
naših	164
našim	164
našimi	164
našu	164
dany	164
moment	164
mimo	164
početku	164
kromě	164
togo	164
model	164
situacija	164
zakon	164
pravy	164
běly	164
žalost	164
momentu	164
russky	164
tutom	164
zautra	163
programa	163
futbol	163
vnutri	163
najprvo	163
organizacija	163
vzeti	163
něčego	163
něčem	163
něčemu	163
něčim	163
nova	163
nove	163
novi	163
novo	163
novogo	163
novoj	163
novoju	163
novom	163
novomu	163
novu	163
novyh	163
novym	163
novymi	163
nověje	163
novějši	163
dom	163
soglasno	163
suglasno	163
načto	163
tekst	163
onako	163
dokolě	163
data	163
normaljno	163
nyně	163
tom	163
kogdakoli	163
kogdykoli	163
status	163
taky	163
okolo	163
kompanija	163
lično	163
tyseč	163
vměsto	163
zvuk	162
poběda	162
iměti	162
viděti	162
hot	162
hoti	162
oči	162
malogo	162
polje	162
super	162
amerikanjsky	162
dekuju	162
draga	162
člen	162
dvoje	162
jegov	162
kvestija	162
mysliti	162
uspěh	162
start	162
žaden	162
ataka	162
matč	162
parlament	162
republika	162
volja	162
šans	162
kanal	162
napravdu	162
radio	162
syna	162
synah	162
synam	162
synami	162
syne	162
syni	162
synom	162
synov	162
synu	162
Němcija	162
najmalo	162
najmenje	162
krug	161
solnce	161
vlast	161
Don	161
podolg	161
inogda	161
inogdy	161
možlivo	161
fond	161
veliky	161
Hvala	161
naskoro	161
možlivost	161
razom	161
policija	161
statija	161
ače	161
dost	161
tvoj	161
pisati	161
stol	161
ah	161
zatom	161
odkogda	161
odkogdy	161
država	161
prazdnik	161
pety	161
světlo	161
ovako	161
strana	161
světa	161
profesor	161
nož	160
blizko	160
koliky	160
mlady	160
člověka	160
člověkom	160
člověku	160
člověče	160
članok	160
cěna	160
govori	160
jednakože	160
jednakže	160
ov	160
krov	160
ljubov	160
čestěje	160
bud	160
budemo	160
budete	160
budeš	160
budmo	160
budte	160
budu	160
byh	160
byhmo	160
byl	160
byla	160
byli	160
bys	160
byste	160
byta	160
bytje	160
byto	160
byty	160
byvša	160
byvše	160
byvši	160
běh	160
běhmo	160
běhu	160
běste	160
běše	160
jesi	160
jesm	160
jesmo	160
jesoma	160
jesomo	160
jesomy	160
jeste	160
suča	160
suče	160
suči	160
blagodarim	160
blagodarju	160
rosijsky	160
stil	160
stilj	160
noviny	160
najčestěje	160
seks	160
každa	160
každe	160
každi	160
každo	160
každogo	160
každoj	160
každoju	160
každom	160
každomu	160
každu	160
každyh	160
každym	160
každymi	160
každěje	160
každějši	160
možnost	160
najboljši	160
zvězda	160
věm	160
prědže	160
věra	160
nebo	160
pol	160
raněje	160
jezyk	160
možno	160
čitati	160
forum	160
jutro	160
lěs	160
slučaju	160
vsakom	160
vrata	160
prav	159
prava	159
pravah	159
pravam	159
pravami	159
pravom	159
pravu	159
desny	159
festival	159
imaje	159
značenja	159
časina	159
sestra	159
vot	159
meč	159
polet	159
vozduh	159
tata	159
rabiti	159
stop	159
někde	159
specialjno	159
boljšest	159
agent	159
proizvodstvo	159
zona	159
studija	159
bar	159
opis	159
věrojetno	159
praca	159
kamera	159
pomoč	159
najlučši	158
hlěb	158
věriti	158
tydenj	158
nos	158
cvět	158
hej	158
povodom	158
pravdu	158
son	158
anglijsky	158
iznova	158
samom	158
onlajn	158
světah	158
světam	158
světami	158
světe	158
světom	158
světov	158
světu	158
světy	158
inače	158
loše	158
vplyv	158
krugla	158
družstvo	158
zapad	158
Francija	158
znaju	158
fakt	158
test	158
Kitaj	158
boljši	158
sgodno	158
cělj	158
park	158
polny	158
zlato	158
blok	158
kdekoli	158
polno	157
oba	157
prěmnogo	157
navyše	157
měseca	157
měsecah	157
měsecam	157
měsecami	157
měsece	157
měsecem	157
měsecev	157
měsecu	157
prědsědatelj	157
lěta	157
Evropa	157
raza	157
razah	157
razam	157
razami	157
raze	157
razu	157
razy	157
ministerstvo	157
syr	157
malo	157
komisija	157
naděja	157
izděla	157
izdělah	157
izdělahmo	157
izdělahu	157
izdělaj	157
izdělaje	157
izdělajema	157
izdělajemo	157
izdělajemy	157
izdělajete	157
izdělaješ	157
izdělajmo	157
izdělajte	157
izdělaju	157
izdělajut	157
izdělajuča	157
izdělajuče	157
izdělajuči	157
izdělal	157
izdělala	157
izdělali	157
izdělalo	157
izdělam	157
izdělama	157
izdělamo	157
izdělamy	157
izdělana	157
izdělanje	157
izdělano	157
izdělany	157
izdělaste	157
izdělate	157
izdělavša	157
izdělavše	157
izdělavši	157
izdělaš	157
izdělaše	157
informacija	157
dějateljnost	157
devety	157
Byti	157
To	157
tolikrat	157
ryba	157
sa	157
seju	157
sem	157
semu	157
sih	157
sim	157
simi	157
su	157
obače	157
boga	157
bogah	157
bogam	157
bogami	157
bogi	157
bogom	157
bogov	157
bogu	157
bože	157
pored	157
universitet	157
Goda	157
Novogo	157
Ščestnogo	157
marš	157
